keystone,name,Mas,Cri,Ver,Has,Agi,Int,Sta,Lee,Avo,legend1,legend2,trinket1,trinket2,t1,t2,t3,t4,t5,t6,t7
20,Flucloxx,8525,9439,2460,8722,,51626,75240,,,Prydaz  Xavaric's Magnum Opus,Edraith  Bonds of Aglaya,Fury of the Burning Sky,Dreadstone of Endless Shadows,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Celf,10925,10303,2076,8086,,57679,83451,541,,Uncertain Reminder,Prydaz  Xavaric's Magnum Opus,Ferocious Gladiator's Accolade of Dominance,Perfectly Preserved Cake,Undulation,Gust of Wind,Lightning Surge Totem,Crashing Waves,Ancestral Protection Totem,Echo of the Elements,Ascendance
20,Viceversa,7994,9620,2647,10419,,52231,78900,,,Prydaz  Xavaric's Magnum Opus,Soul of the Archdruid,The Deceiver's Grand Design,Archive of Faith,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
17,Daicymeister,10886,8571,1008,7239,,57691,74119,778,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Dreadstone of Endless Shadows,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
20,Grodien,12545,7230,3781,9034,,56156,75304,,763,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Pazah,12754,5858,4449,7790,,53959,80733,,,Prydaz  Xavaric's Magnum Opus,Ekowraith  Creator of Worlds,The Deceiver's Grand Design,Perfectly Preserved Cake,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Grodien,12814,7864,4467,8047,,57394,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Grodien,12439,7864,4467,8047,,57919,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Xerase,10923,6119,6041,7649,,66071,124382,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Flucloxx,9740,8493,3237,8120,,56377,79050,562,,Prydaz  Xavaric's Magnum Opus,Edraith  Bonds of Aglaya,Sea Star of the Depthmother,Dreadstone of Endless Shadows,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
19,Hotbollow,11071,12615,2115,5025,,64042,85231,594,,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,Cruel Gladiator's Accolade of Dominance,Barbaric Mindslaver,Undulation,Gust of Wind,Lightning Surge Totem,Crashing Waves,Earthen Shield Totem,Echo of the Elements,Ascendance
19,Elu,14640,4456,1263,10765,,59256,77786,413,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Brinewater Slime in a Bottle,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Mass Entanglement,Incarnation: Tree of Life,Germination,Flourish
15,Chuckx,11433,6795,2452,10102,,55732,76516,457,,Aman'Thul's Wisdom,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Feral Affinity,Mass Entanglement,Cultivation,Germination,Flourish
15,Sdres,11068,7534,1621,10071,,55650,74121,,429,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Leycoral Shard,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
15,Rhastalenore,11193,8458,3020,7508,,53725,77777,,,Prydaz  Xavaric's Magnum Opus,Soul of the Farseer,Chalice of Moonlight,The Deceiver's Grand Design,Torrent,Wind Rush Totem,Lightning Surge Totem,Ancestral Guidance,Earthen Shield Totem,Cloudburst Totem,High Tide
15,Vaayu,12480,10550,1043,5187,,51402,75465,,,Al'Akir's Acrimony,Sephuz's Secret,Pharamere's Forbidden Grimoire,Fury of the Burning Sky,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
15,Ferling,9241,7694,1496,9592,,54714,76743,,,Praetorian's Tidecallers,Focuser of Jonat  the Elder,Vault Guardian's Talisman,Barbaric Mindslaver,Torrent,Graceful Spirit,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,High Tide
15,Tiddlestotem,12242,13871,1501,7308,,54359,80691,,,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,The Deceiver's Grand Design,Unstable Arcanocrystal,Undulation,Graceful Spirit,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,Ascendance
15,Vaayu,12824,11892,1636,3377,,49976,76521,,,Uncertain Reminder,Sephuz's Secret,Pharamere's Forbidden Grimoire,Fury of the Burning Sky,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
15,Arjuvenation,6402,11916,3510,5858,,55121,74983,,383,The Dark Titan's Advice,Sephuz's Secret,Vault Guardian's Talisman,Etraeus' Celestial Map,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Vaayu,12824,11892,1636,3377,,51341,76521,,,Uncertain Reminder,Sephuz's Secret,Pharamere's Forbidden Grimoire,Fury of the Burning Sky,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
15,Nhali,10959,11290,1090,5873,,54628,76812,1175,,Wurzeln von Shaladrassil,Sephuz' Geheimnis,Brennender Portalschlüssel,Talisman der steigenden Flut,Wogen,Rückenwind,Totem der Blitzwoge,Brandende Wellen,Seelenstärke der Ahnen,Echo der Elemente,Aszendenz
15,Majimbuu,12386,7477,3024,10434,,52790,73143,534,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Kazrah,11737,12769,2022,4155,,50474,75395,,594,Prydaz  Xavaric's Magnum Opus,Soul of the Farseer,Perfectly Preserved Cake,The Deceiver's Grand Design,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Earthen Shield Totem,Cloudburst Totem,Ascendance
15,Miga,8543,12237,6119,3979,,54863,79961,,,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,The Deceiver's Grand Design,Sea Star of the Depthmother,Torrent,Gust of Wind,Lightning Surge Totem,Ancestral Guidance,Earthen Shield Totem,Cloudburst Totem,High Tide
18,Tritus,8816,10949,4040,6998,,57004,76742,1061,603,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Mighty Bash,Cultivation,Germination,Stonebark
18,Tiktrik,8400,5737,1529,11217,,57343,84378,,,Alma do Arquidruida,Visão do Futuro de Velen,Relicário dos Malditos,Visão do Futuro de Velen,Prosperidade,Fera Deslocadora,Afinidade com Guardião,Tufão,Cultivo,Germinação,Florescer
15,Chandri,7671,7667,4023,9073,,53517,75155,1039,,Prydaz  Xavaric's Magnum Opus,The Dark Titan's Advice,Ferocious Gladiator's Insignia of Dominance,Flask of the Solemn Night,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
18,Roxene,14828,7627,2538,9221,,52705,78551,,735,Prydaz  Xavaric's Magnum Opus,Aman'Thul's Wisdom,Unstable Arcanocrystal,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
18,Rayzd,13296,4789,3179,12197,,51966,80484,1555,594,Prydaz  Xavaric's Magnum Opus,Soul of the Archdruid,Bleached Skull Talisman,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Grodien,9742,9780,2925,8779,,56030,72501,,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Mercyd,8274,5676,4363,8814,,57979,74787,,,Soul of the Archdruid,Velen's Future Sight,Flask of the Solemn Night,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Xerase,10923,6119,6041,7649,,59666,80246,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Roxene,11152,9067,3136,11649,,52449,78916,551,,Prydaz  Xavaric's Magnum Opus,Chatoyant Signet,Unstable Arcanocrystal,The Deceiver's Grand Design,Abundance,Displacer Beast,Feral Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
18,Igotdrood,14020,7568,2776,8714,,56134,78127,749,518,Prydaz  Xavarics Magnum Opus,Velens Blick in die Zukunft,Velens Blick in die Zukunft,Instabiler Arkanokristall,Überfluss,Phasenbestie,Wächteraffinität,Taifun,Grüner Daumen,Verschmelzung,Gedeihen
18,Valagrande,11579,8298,3387,8007,,55781,74156,567,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Kw,13594,4375,344,10531,,55879,74613,,,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Bearheart,12079,8640,3306,6282,,55519,82739,,,Roots of Shaladrassil,Soul of the Farseer,The Deceiver's Grand Design,Umbral Moonglaives,Torrent,Gust of Wind,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Cloudburst Totem,Ascendance
18,Mistginn,9588,9160,2556,8090,,56543,74166,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Xlyinia,10232,10519,4992,8359,,53125,79429,,,Prydaz  Xavaric's Magnum Opus,Edraith  Bonds of Aglaya,Sea Star of the Depthmother,Unstable Arcanocrystal,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
18,Flenyo,9223,8785,3881,7340,,57082,76172,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Chalice of Moonlight,Cenarion Ward,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Stonebark
16,Bagaturyn,11271,8195,4735,9219,,55994,76158,562,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Incarnation: Tree of Life,Germination,Flourish
16,Grodien,12814,7864,4467,8047,,57394,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Grodien,12439,7864,4467,8047,,57394,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Igotdrood,12987,6817,3043,7594,,52283,79050,749,518,Prydaz  Xavarics Magnum Opus,Die Dame und das Kind,Meeresstern der Tiefenmutter,Verderbtes Sternenlicht,Überfluss,Phasenbestie,Wächteraffinität,Taifun,Grüner Daumen,Verschmelzung,Gedeihen
16,Cyberiada,12739,6467,5319,7550,,58614,78271,,594,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Cyw,10328,8239,1595,9090,,58892,78197,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Ntoork,12348,6886,2477,8513,,56537,75129,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Terrorbound Nexus,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Hotfixd,10356,6338,4890,7666,,54297,73161,,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Iuffy,13256,6321,5902,7961,,56584,76707,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Cheeriko,11574,11042,1389,8887,,54669,73140,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Flourish
16,Madseeker,9323,8119,2573,10731,,56770,76237,1103,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Sea Star of the Depthmother,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
16,Chuckx,11058,7650,2021,10102,,55925,76953,457,,Aman'Thul's Wisdom,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Feral Affinity,Mass Entanglement,Cultivation,Germination,Flourish
16,Qire,8945,8078,2782,7132,,52377,72990,421,,Aman'Thul's Wisdom,The Dark Titan's Advice,Sea Star of the Depthmother,Darkmoon Deck: Promises,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Nuffie,6124,7328,2354,13329,,59858,76274,,518,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Chalice of Moonlight,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Illiri,12487,9001,2563,5429,,57662,79904,605,583,Soul of the Farseer,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Undulation,Wind Rush Totem,Lightning Surge Totem,Ancestral Guidance,Ancestral Protection Totem,Cloudburst Totem,Ascendance
16,Mistginn,10719,6581,2931,9163,,56202,74491,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Majimbuu,12386,7477,3024,10434,,52790,73143,534,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Chuckx,11058,7650,2021,10102,,55925,76953,457,,Aman'Thul's Wisdom,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Feral Affinity,Mass Entanglement,Cultivation,Germination,Flourish
16,Iuffy,13256,6321,5902,7961,,56584,76707,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Nakelz,8701,7935,2004,7715,,55235,77332,,,Ekowraith  Creator of Worlds,The Dark Titan's Advice,Darkmoon Deck: Promises,Flask of the Solemn Night,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
16,Nourioreroll,12880,9951,2085,5530,,58026,78738,,,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,Etraeus' Celestial Map,Burning Portal Key,Torrent,Graceful Spirit,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Cloudburst Totem,Ascendance
17,Elu,15038,4261,1263,10632,,55065,79886,413,,Prydaz  Xavarics Magnum Opus,Der Rat des Dunklen Titanen,Des Betrügers großer Plan,Flasche mit Salzlakenschleim,Überfluss,Phasenbestie,Wächteraffinität,Taifun,Grüner Daumen,Verschmelzung,Gedeihen
17,Carriu,10811,7105,2106,8038,,59915,76775,437,,The Dark Titan's Advice,Velen's Future Sight,Charm of the Rising Tide,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Neerves,12072,5287,4449,6778,,58947,80003,,,Prydaz  Xavaric's Magnum Opus,Soul of the Archdruid,Chrono Shard,Infernal Writ,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Cyberiada,12739,6467,5319,7550,,58614,78271,,594,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Prosperity,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Flourish
17,Roxene,11152,9442,3136,11274,,52449,78916,551,,Prydaz  Xavaric's Magnum Opus,Chatoyant Signet,Unstable Arcanocrystal,The Deceiver's Grand Design,Abundance,Displacer Beast,Feral Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
17,Daicymeister,10886,8571,1008,6864,,58452,74119,778,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Dreadstone of Endless Shadows,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
17,Leaxajr,9171,6984,3597,7386,,59332,81167,,,Aman'Thul's Wisdom,The Dark Titan's Advice,Etraeus' Celestial Map,Dreadstone of Endless Shadows,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Xerase,10923,6119,6041,8024,,59141,80246,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Iuffy,12184,5474,5059,7114,,58750,76707,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Cyberiada,13591,9181,2604,7721,,54795,72963,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Chesschamp,10563,2968,2078,10019,,53372,74179,749,,The Dark Titan's Advice,Edraith  Bonds of Aglaya,Sea Star of the Depthmother,Charm of the Rising Tide,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
17,Vaayu,13015,10629,1061,5902,,55626,79061,541,,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,Etraeus' Celestial Map,The Deceiver's Grand Design,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
17,Grodien,12920,7230,3781,9034,,56156,75304,,763,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Cynlikeme,12622,11131,1564,5565,,58908,82876,1177,792,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,The Deceiver's Grand Design,Chalice of Moonlight,Undulation,Graceful Spirit,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
17,Alroyjackson,8053,9201,1596,8228,,56839,75105,,594,Soul of the Archdruid,Velen's Future Sight,Velen's Future Sight,Chalice of Moonlight,Prosperity,Displacer Beast,Guardian Affinity,Mighty Bash,Cultivation,Spring Blossoms,Flourish
17,Nieldor,9000,7639,676,10327,,54762,72644,,,Секрет Сефуза,Предвидение Велена,Предвидение Велена,Страхолит бесконечных теней,Щит Кенария,Астральный скачок,Родство со стражем,Тайфун,Проращивание,Зарождение,Расцвет
20,Kw,12533,6634,344,10146,,56175,76590,,,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Elu,14640,4456,1263,10765,,59256,77786,413,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Brinewater Slime in a Bottle,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Mass Entanglement,Incarnation: Tree of Life,Germination,Flourish
17,Jaydaa,7016,14478,2272,8157,,57060,74179,,562,The Dark Titan's Advice,Velen's Future Sight,Chalice of Moonlight,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Leaxajr,8550,8689,1783,7549,,59138,80309,763,,The Dark Titan's Advice,Soul of the Archdruid,Etraeus' Celestial Map,Chrono Shard,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
20,Grodien,12814,7864,4467,8047,,57394,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Xerase,12639,6495,2984,9076,,66323,81157,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Mighty Bash,Cultivation,Germination,Flourish
20,Illiri,11739,9854,2563,5429,,57662,80081,605,583,Soul of the Farseer,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Undulation,Wind Rush Totem,Lightning Surge Totem,Ancestral Guidance,Ancestral Protection Totem,Cloudburst Totem,Ascendance
20,Meuhfrehya,9404,8701,1784,11212,,53387,78894,,429,Prydaz  chef-d'œuvre de Xavaric,Sagesse d'Aman'Thul,Suite de Sombrelune : Promesses,Arcanocristal instable,Abondance,Transfert bestial,Affinité du gardien,Typhon,Culture,Germination,Epanouissement
20,Grodien,12814,7864,4467,8047,,57394,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Justgrillme,12127,6676,517,10020,,56401,78207,,721,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Incarnation: Tree of Life,Germination,Flourish
20,Razerraggarn,12004,7976,1918,8207,,55735,73422,603,583,Tearstone of Elune,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Cenarion Ward,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Flourish
20,Elu,14973,4456,1263,10765,,57283,77786,413,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Mass Entanglement,Incarnation: Tree of Life,Germination,Flourish
20,Neryda,11520,6132,3028,7647,,57922,76198,511,,Soul of the Archdruid,Velen's Future Sight,Velen's Future Sight,Perfectly Preserved Cake,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Grodien,12920,7230,3781,9034,,56156,75304,,763,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Cynlikeme,13237,9350,1564,7028,,61533,87330,1177,792,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,The Deceiver's Grand Design,Chalice of Moonlight,Undulation,Graceful Spirit,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
20,Leaxajr,8550,8689,1783,7549,,59031,80222,763,,The Dark Titan's Advice,Soul of the Archdruid,Etraeus' Celestial Map,Dreadstone of Endless Shadows,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
20,Grodien,12814,7864,4467,8047,,57394,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
20,Daicymeister,10886,8571,1008,6864,,58452,74119,778,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Dreadstone of Endless Shadows,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
19,Chayn,13425,5874,4837,7898,,54114,77700,585,,Prydaz  Xavaric's Magnum Opus,Soul of the Archdruid,Etraeus' Celestial Map,Unstable Arcanocrystal,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
19,Cynlikeme,13237,9350,1564,7028,,58908,83354,1177,792,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,The Deceiver's Grand Design,Chalice of Moonlight,Undulation,Graceful Spirit,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
19,Mistginn,9588,8785,2931,8090,,56202,74166,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
19,Grodien,12820,7864,4467,7962,,56554,77274,,763,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
19,Neryda,9220,7257,4294,10596,,57738,76542,511,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Perfectly Preserved Cake,Prosperity,Displacer Beast,Guardian Affinity,Mighty Bash,Cultivation,Germination,Flourish
19,Droode,11202,9477,4822,5307,,53506,79577,,562,Chant du caméléon,Prydaz  chef-d'œuvre de Xavaric,Archive de foi,Gâteau parfaitement conservé,Abondance,Renouveau,Affinité du gardien,Typhon,Culture,Germination,Epanouissement
19,Celf,8897,12120,1335,9958,,56114,81621,,,Prydaz  Xavaric's Magnum Opus,Sephuz's Secret,Ferocious Gladiator's Accolade of Dominance,Perfectly Preserved Cake,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
19,Tritus,8816,10949,4040,6998,,57004,76742,1061,603,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Mighty Bash,Cultivation,Germination,Stonebark
19,Grodien,12485,7927,2925,8927,,60973,74242,,,Prydaz  Xavaric's Magnum Opus,Aman'Thul's Wisdom,Brinewater Slime in a Bottle,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
19,Grodien,13195,7864,4467,7962,,57394,77274,,763,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
